id,transaction_id,price,date_processed,quarter,month,year,year_month,post_code,property_type,whether_new,tenure,address1,address2,address3,address4,town,local_authority,county,record_status,post_code_clean,inner_outer,borough_code,borough_name,ward_code,ward_name,msoa11,lsoa11,oa11
499445,{9F07C7F9-E553-462D-8E5D-07639BB5C2F9},213000,27/01/1995 00:00,1,1,1995,1995/1,HA5 3AY,D,N,F,6, ,MOSS CLOSE,PINNER,PINNER,HARROW,GREATER LONDON,A,HA5 3AY,Outer,E09000015,Harrow,E05000297,Pinner,E02000448,E01002188,E00010957
499490,{0EC6B23A-C114-46B8-91D2-077E55674E58},123000,12/01/1995 00:00,1,1,1995,1995/1,KT6 7UH,D,N,F,61, ,MALVERN ROAD,SURBITON,SURBITON,KINGSTON UPON THAMES,GREATER LONDON,A,KT6 7UH,Outer,E09000021,Kingston upon Thames,E05000413,Surbiton Hill,E02000613,E01002994,E00015071
499997,{9CFA7416-95E9-45DE-9B76-08AF1DD6CF98},373500,18/01/1995 00:00,1,1,1995,1995/1,TW107HR,D,N,F,11, ,HAM STREET, ,RICHMOND,RICHMOND UPON THAMES,GREATER LONDON,A,TW107HR,Outer,E09000027,Richmond upon Thames,E05000519,"Ham, Petersham and Richmond Riverside",E02000800,E01003819,E00019177
500116,{E4B49F94-3B3C-43F3-9A09-08F3EF225297},179000,19/01/1995 00:00,1,1,1995,1995/1,BR2 7AW,D,Y,F,2, ,WENTWORTH CLOSE,HAYES,BROMLEY,BROMLEY,GREATER LONDON,A,BR2 7AW,Outer,E09000006,Bromley,E05000119,Hayes and Coney Hall,E02000160,E01000768,E00003721
500442,{10C48C4A-CE24-43F5-91ED-09AC93E90702},341100,06/01/1995 00:00,1,1,1995,1995/1,BR1 2PF,D,N,F,5, ,PARK FARM ROAD,BROMLEY,BROMLEY,BROMLEY,GREATER LONDON,A,BR1 2PF,Outer,E09000006,Bromley,E05000106,Bickley,E02000133,E01000645,E00003117
500578,{FB516269-2686-417D-AA6F-0A02150EC380},325000,09/01/1995 00:00,1,1,1995,1995/1,SW128UB,D,N,F,11, ,THURLEIGH ROAD,LONDON,LONDON,WANDSWORTH,GREATER LONDON,A,SW128UB,Inner,E09000032,Wandsworth,E05000619,Northcote,E02000937,E01004559,E00022907
500693,{94C40C87-DB04-448A-9E1F-0A4180F2096C},187000,25/01/1995 00:00,1,1,1995,1995/1,SW163EX,D,N,F,151, ,GIBSONS HILL,LONDON,LONDON,CROYDON,GREATER LONDON,A,SW163EX,Outer,E09000008,Croydon,E05000158,Norbury,E02000195,E01001084,E00005419
501327,{1674FD3C-6754-445F-B5C0-0BD516CDDDF4},128000,27/01/1995 00:00,1,1,1995,1995/1,SE233AQ,D,N,F,79, ,CANONBIE ROAD,LONDON,LONDON,LEWISHAM,GREATER LONDON,A,SE233AQ,Inner,E09000023,Lewisham,E05000444,Forest Hill,E02000673,E01003260,E00016489
501549,{42C0A105-DEF7-40C4-9C56-0C51F1A4540C},75700,05/01/1995 00:00,1,1,1995,1995/1,CR2 0PR,D,N,F,50, ,BYNES ROAD,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,A,CR2 0PR,Outer,E09000008,Croydon,E05000152,Croham,E02000224,E01001034,E00005175
501730,{4C9FB8A0-D5AB-4950-BA23-0CBAFE4D40CB},90000,27/01/1995 00:00,1,1,1995,1995/1,UB7 7AW,D,N,F,94A, ,FAIRWAY AVENUE,WEST DRAYTON,WEST DRAYTON,HILLINGDON,GREATER LONDON,A,UB7 7AW,Outer,E09000017,Hillingdon,E05000342,West Drayton,E02000522,E01002531,E00012582
501777,{2D34C5E5-57CE-4F55-AEFF-0CD17D123149},200000,27/01/1995 00:00,1,1,1995,1995/1,NW110EE,D,N,F,69, ,BRIDGE LANE,LONDON,LONDON,BARNET,GREATER LONDON,A,NW110EE,Outer,E09000003,Barnet,E05000053,Golders Green,E02000058,E01000217,E00001098
501917,{F859E24E-75B2-42E6-A834-0D2B3FFC3683},185000,26/01/1995 00:00,1,1,1995,1995/1,W13 8EL,D,N,F,72, ,ARGYLE ROAD,LONDON,LONDON,EALING,GREATER LONDON,A,W13 8EL,Outer,E09000009,Ealing,E05000173,Ealing Broadway,E02000256,E01001224,E00006111
501960,{67F0C364-9FBD-4CB1-8E09-0D49A0AC4AC8},81000,06/01/1995 00:00,1,1,1995,1995/1,UB6 9RB,D,N,F,24, ,EASTMEAD AVENUE,GREENFORD,GREENFORD,EALING,GREATER LONDON,A,UB6 9RB,Outer,E09000009,Ealing,E05000177,Greenford Broadway,E02000247,E01001258,E00006296
502127,{39F35B0B-FED5-40CF-B656-0DAA87E0913C},91000,20/01/1995 00:00,1,1,1995,1995/1,BR6 9RT,D,N,F,5, ,WILLERSLEY AVENUE,ORPINGTON,ORPINGTON,BROMLEY,GREATER LONDON,A,BR6 9RT,Outer,E09000006,Bromley,E05000118,Farnborough and Crofton,E02000157,E01000758,E00003671
502312,{ACD527C5-A312-418E-BA32-0E1ED6C7A7D7},179750,13/01/1995 00:00,1,1,1995,1995/1,SW200AA,D,N,F,211, ,ROBIN HOOD WAY,LONDON,LONDON,KINGSTON UPON THAMES,GREATER LONDON,A,SW200AA,Outer,E09000021,Kingston upon Thames,E05000406,Coombe Hill,E02000599,E01002953,E00014881
502530,{794AE703-94EC-44DA-B80C-0EAAE4467A8C},210000,06/01/1995 00:00,1,1,1995,1995/1,KT2 7JN,D,N,F,11, ,COTSWOLD CLOSE,KINGSTON UPON THAMES,KINGSTON UPON THAMES,KINGSTON UPON THAMES,GREATER LONDON,A,KT2 7JN,Outer,E09000021,Kingston upon Thames,E05000406,Coombe Hill,E02000599,E01002952,E00014859
502538,{6088A84F-E18D-4ADB-815B-0EAF3EFFA4C5},325000,24/01/1995 00:00,1,1,1995,1995/1,CR8 5JB,D,N,F,9, ,ABBOTS LANE,KENLEY,KENLEY,CROYDON,GREATER LONDON,A,CR8 5JB,Outer,E09000008,Croydon,E05000156,Kenley,E02000233,E01001070,E00005361
503213,{2BFCE48A-79D6-4185-8899-104C331E770A},282500,16/01/1995 00:00,1,1,1995,1995/1,HA8 7RZ,D,N,F,3, ,DUKES AVENUE,EDGWARE,EDGWARE,HARROW,GREATER LONDON,A,HA8 7RZ,Outer,E09000015,Harrow,E05000286,Canons,E02000434,E01002116,E00010605
503838,{4001CD00-A863-47D1-9534-11C0D7389358},104000,09/01/1995 00:00,1,1,1995,1995/1,N14 4EH,D,N,F,24, ,AVENUE ROAD,LONDON,LONDON,ENFIELD,GREATER LONDON,A,N14 4EH,Outer,E09000010,Enfield,E05000208,Southgate,E02000296,E01001525,E00007556
